ProductID,ProductName,Quantity,Price,Date
101,Laptop,19,92761.04,2025-10-10
110,Graphics Card,4,153314.52,2025-10-10
103,Keyboard,3,4657.14,2025-10-10
111,Printer,7,46495.58,2025-10-10
106,Headphones,1,12870.03,2025-10-10
112,Scanner,11,36934.66,2025-10-10
107,USB Cable,8,844.47,2025-10-10
105,Webcam,5,14342.07,2025-10-10
114,Microphone,4,17309.75,2025-10-10
114,Microphone,2,16720.30,2025-10-10
105,Webcam,7,15358.71,2025-10-10
105,Webcam,8,15263.87,2025-10-10
107,USB Cable,19,793.47,2025-10-10
110,Graphics Card,7,141690.95,2025-10-10
110,Graphics Card,13,138560.07,2025-10-10
111,Printer,1,40961.44,2025-10-10
102,Mouse,14,2483.66,2025-10-10
101,Laptop,5,92620.89,2025-10-10
114,Microphone,3,18878.22,2025-10-10
110,Graphics Card,17,155030.62,2025-10-10
101,Laptop,5,77358.65,2025-10-10
107,USB Cable,12,795.20,2025-10-10
106,Headphones,10,12239.85,2025-10-10
101,Laptop,6,91732.36,2025-10-10
105,Webcam,10,13942.29,2025-10-10
110,Graphics Card,19,151524.88,2025-10-10
103,Keyboard,6,4532.15,2025-10-10
101,Laptop,9,79739.55,2025-10-10
110,Graphics Card,7,151762.62,2025-10-10
114,Microphone,11,17075.94,2025-10-10
112,Scanner,4,32148.92,2025-10-10
115,Desk Lamp,19,5380.79,2025-10-10
114,Microphone,15,17220.90,2025-10-10
111,Printer,1,42900.71,2025-10-10
102,Mouse,7,2492.71,2025-10-10
107,USB Cable,15,729.14,2025-10-10
109,RAM 16GB,11,26595.99,2025-10-10
109,RAM 16GB,7,30524.80,2025-10-10
106,Headphones,13,11207.89,2025-10-10
113,Router,20,7464.50,2025-10-10
104,Monitor,15,66532.70,2025-10-10
111,Printer,12,42666.36,2025-10-10
113,Router,9,8080.00,2025-10-10
113,Router,13,7789.47,2025-10-10
104,Monitor,13,58612.13,2025-10-10
110,Graphics Card,3,156570.51,2025-10-10
103,Keyboard,18,4737.55,2025-10-10
113,Router,1,8139.97,2025-10-10
105,Webcam,15,14313.83,2025-10-10
104,Monitor,4,58947.37,2025-10-10
113,Router,13,8201.56,2025-10-10
103,Keyboard,11,5231.25,2025-10-10
112,Scanner,17,36828.46,2025-10-10
102,Mouse,7,2275.84,2025-10-10
104,Monitor,11,68057.95,2025-10-10
